,Symbol,RalatedParty,EndDate,ISExit,Relationship,RegisterAddress,DirectHoldingRatio,IndirectHoldingRatio,Sub_Symbol,Name,is_foreign,is_subsidiary_listed,ind
1249,000028,国药控股国大药房(深圳)连锁有限公司,2022-12-31,0,上市公司的子公司,深圳,,100,,国药一致,0,0,商业
1250,000028,国药控股国大药房广州连锁有限公司,2022-12-31,0,上市公司的子公司,广州,,100,,国药一致,0,0,商业
1251,000028,国药控股国大药房广东有限公司,2022-12-31,0,上市公司的子公司,深圳,,100,,国药一致,0,0,商业
1252,000028,浙江国药大药房东山药店有限公司,2022-12-31,0,上市公司的子公司,杭州,,51,,国药一致,0,0,商业
1253,000028,浙江国药大药房有限公司,2022-12-31,0,上市公司的子公司,杭州,,100,,国药一致,0,0,商业
1254,000028,北京国大药房连锁有限公司,2022-12-31,0,上市公司的子公司,北京,,100,,国药一致,0,0,商业
1255,000028,天津国大药房连锁有限公司,2022-12-31,0,上市公司的子公司,天津,,80,,国药一致,0,0,商业
1256,000028,国大药房(日照)有限公司,2022-12-31,0,上市公司的子公司,日照,,100,,国药一致,0,0,商业
1257,000028,国大药房(菏泽)有限公司,2022-12-31,0,上市公司的子公司,菏泽,,51,,国药一致,0,0,商业
1258,000028,国药控股国大药房永兴堂连锁(朝阳)有限公司,2022-12-31,0,上市公司的子公司,朝阳,,51,,国药一致,0,0,商业
1259,000028,泉州市国大药房连锁有限公司,2022-12-31,0,上市公司的子公司,泉州,,51,,国药一致,0,0,商业
1260,000028,国控国大健丰(江门)医药连锁有限公司,2022-12-31,0,上市公司的子公司,江门,,51,,国药一致,0,0,商业
1261,000028,安徽国大药房连锁有限公司,2022-12-31,0,上市公司的子公司,合肥,,60,,国药一致,0,0,商业
1262,000028,国药乐仁堂石家庄医药有限公司,2022-12-31,0,上市公司的子公司,石家庄,,100,,国药一致,0,0,商业
1263,000028,国药河北乐仁堂医药连锁有限公司,2022-12-31,0,上市公司的子公司,石家庄,,60,,国药一致,0,0,商业
1264,000028,内蒙古国大医药有限公司,2022-12-31,0,上市公司的子公司,呼和浩特,,100,,国药一致,0,0,商业
1265,000028,国药控股国大药房巴彦淖尔有限公司,2022-12-31,0,上市公司的子公司,巴彦淖尔,,80,,国药一致,0,0,商业
1266,000028,国大药房满洲里有限公司,2022-12-31,0,上市公司的子公司,呼伦贝尔,,51,,国药一致,0,0,商业
1267,000028,国药控股国大药房乌兰察布有限公司,2022-12-31,0,上市公司的子公司,乌兰察布,,60,,国药一致,0,0,商业
1268,000028,国药控股国大药房呼伦贝尔有限公司,2022-12-31,0,上市公司的子公司,呼伦贝尔,,51,,国药一致,0,0,商业
1269,000028,国药控股国大药房内蒙古有限公司,2022-12-31,0,上市公司的子公司,呼和浩特,,96.7,,国药一致,0,0,商业
1270,000028,国控国大(江门)医药有限公司,2022-12-31,0,上市公司的子公司,江门,,65,,国药一致,0,0,商业
1271,000028,溧阳国大人民药房有限公司,2022-12-31,0,上市公司的子公司,常州,,80,,国药一致,0,0,商业
1272,000028,国药控股国大药房河南连锁有限公司,2022-12-31,0,上市公司的子公司,平顶山,,60,,国药一致,0,0,商业
1273,000028,湖南国大药房医药有限公司,2022-12-31,0,上市公司的子公司,衡阳,,100,,国药一致,0,0,商业
1274,000028,山西国大万民药房连锁有限公司,2022-12-31,0,上市公司的子公司,太原,,85,,国药一致,0,0,商业
1275,000028,长治市国大万民药房有限公司,2022-12-31,0,上市公司的子公司,长治,,51,,国药一致,0,0,商业
1276,000028,湖南国大民生堂药房连锁有限公司,2022-12-31,0,上市公司的子公司,衡阳,,51,,国药一致,0,0,商业
1277,000028,山西国大万民连锁诊所管理有限公司,2022-12-31,0,上市公司的子公司,太原,,100,,国药一致,0,0,医疗服务
1278,000028,孝义市国大万民百草堂药房连锁有限公司,2022-12-31,0,上市公司的子公司,吕梁,,70,,国药一致,0,0,商业
1279,000028,国大万民惠民康维药房吕梁有限公司,2022-12-31,0,上市公司的子公司,吕梁,,51,,国药一致,0,0,商业
1280,000028,山西同丰医药物流有限公司,2022-12-31,0,上市公司的子公司,太原,,100,,国药一致,0,0,商业
1282,000029,汕头市华峰房地产开发有限公司,2022-12-31,0,上市公司的子公司,,,,,深深房A,0,0,房地产开发
1283,000029,新峰置业有限公司,,,,,,,,,,,投资、管理
1289,000029,汕头市华林房产开发有限公司,2022-12-31,0,上市公司的子公司,,,,,深深房A,0,0,房地产开发
1290,000029,深圳圳通工程有限公司,2022-12-31,0,上市公司的子公司,深圳,73,27,,深深房A,0,0,安装施工
1291,000029,广东建邦集团(惠阳)实业有限公司,2022-12-31,0,上市公司的子公司,惠州,51,,,深深房A,0,0,房地产开发
1292,000029,新峰企业有限公司,2022-12-31,0,上市公司的子公司,香港,100,,,深深房A,0,0,投资、管理
1293,000029,深圳市华展建设监理有限公司,2022-12-31,0,上市公司的子公司,深圳,75,25,,深深房A,0,0,监理
1294,000029,深圳海燕大酒店有限公司,2022-12-31,0,上市公司的子公司,深圳,68.1,31.9,,深深房A,0,0,租赁、物业管理
1295,000029,美国长城地产有限公司,2022-12-31,0,上市公司的子公司,美国,70,,,深深房A,0,0,租赁
1296,000029,深圳市深房集团龙岗开发有限公司,2022-12-31,0,上市公司的子公司,深圳,95,5,,深深房A,0,0,房地产开发
1299,000029,深圳市深房传麒房地产开发有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深深房A,0,0,房地产开发
1304,000029,深圳市深房保税贸易有限公司,2022-12-31,0,上市公司的子公司,深圳,95,5,,深深房A,0,0,进出品贸易
1311,000029,新峰臵业有限公司,2022-12-31,0,上市公司的子公司,香港,100,,,深深房A,0,0,投资、管理
1313,000029,北京新峰房地产开发经营有限公司,2022-12-31,0,上市公司的子公司,北京,75,25,,深深房A,0,0,房地产经营
1314,000029,深圳市深房投资有限公司,2022-12-31,0,上市公司的子公司,深圳,90,10,,深深房A,0,0,投资
1315,000029,深圳市联华企业有限公司,2022-12-31,0,上市公司的子公司,深圳,95,5,,深深房A,0,0,机械机电设备安装
1323,000030,一汽-法雷奥汽车空调有限公司,2022-12-31,0,上市公司的子公司,长春,51,,,富奥股份,0,0,制造业
1324,000030,富奥法雷奥电动汽车零部件(常熟)有限公司,2022-12-31,0,上市公司的子公司,常熟,50.5,,,富奥股份,0,0,制造业
